epoch,train_loss,train_acc,train_f1,pv_val_loss,pv_val_acc,pv_val_f1,rw_val_loss,rw_val_acc,rw_val_f1,combined_score
1,0.6836431995034218,0.7671888598781549,0.7670006741009338,0.6529362651490374,0.828,0.81909437267429,1.589896321296692,0.6666666666666666,0.6114612511671335,0.7360411240714274
2,0.3060028242568175,0.8968668407310705,0.8967585647563213,0.23306956549640745,0.924,0.9284888615664171,0.7556113603786798,0.6363636363636364,0.5819143819143818,0.7898590697056029
3,0.22406787342495388,0.9295039164490861,0.9294611124382627,0.3408696614205837,0.88,0.8829454538406845,1.5062006115913391,0.6363636363636364,0.5976851851851851,0.7688413463784847
4,0.16569983532341817,0.9425587467362925,0.9422276523168218,0.32876793772447854,0.9,0.9052026416896878,0.7477410715073347,0.6666666666666666,0.6430375180375181,0.8003365922288199
5,0.14943451561137205,0.9547432550043516,0.9547410081039072,0.3312741730738935,0.88,0.8840018500929027,0.7349254479486262,0.6666666666666666,0.6514194139194139,0.7909688756235072
6,0.09770971181569621,0.9682332463011314,0.9682253960795744,0.19628306513186544,0.944,0.9471429848552417,0.8249261378900883,0.6666666666666666,0.6354497354497354,0.8224656850930392
7,0.07656371823718978,0.9734551784160139,0.973425322952758,0.49054179059385206,0.908,0.911987668522071,0.8251758199075994,0.6666666666666666,0.6335137085137085,0.800598084518726
8,0.0870171920040674,0.9734551784160139,0.9734203460647888,0.24795648181680008,0.944,0.9455156621614756,0.7025838402551017,0.696969696969697,0.6402625152625153,0.8234144034018915
9,0.06419769105397993,0.97911227154047,0.9791092457043417,0.38441863112007013,0.904,0.9059461855973483,1.1099400520315612,0.6060606060606061,0.5499750249750249,0.7635577213484189
10,0.11932074576745638,0.9660574412532638,0.9660700725568754,0.49999927659519017,0.876,0.8794552839294724,0.7679144680732861,0.7272727272727273,0.6521825396825397,0.7885461862306993
11,0.0684821997419931,0.9786771105308965,0.9786667312588974,0.4570133149245521,0.888,0.8886693462992682,1.1788945793568928,0.6363636363636364,0.6309829059829061,0.7855947701727234
12,0.07048942043749978,0.9778067885117493,0.9778060025085313,0.21402973850854323,0.94,0.9414549847491379,1.0193655274924822,0.6666666666666666,0.6228354978354979,0.8140071899836818
13,0.07131981096608797,0.9751958224543081,0.9751798266857962,0.2272806411347119,0.94,0.941259011726848,0.9263799310429022,0.6666666666666666,0.6354497354497354,0.818935301216003
14,0.07335704217742507,0.9747606614447345,0.9747742194358988,0.22664683185575996,0.94,0.9420796028774631,0.8343713516369462,0.5757575757575758,0.5484126984126985,0.7846128410915573
15,0.06487608672695286,0.979982593559617,0.9799807732708973,0.18148229300277308,0.944,0.9460586120885303,0.9510713748022681,0.696969696969697,0.6702380952380952,0.8357304053483563
16,0.07044465411551452,0.9773716275021758,0.9773612548766701,0.3412975814935635,0.904,0.9056666271278488,0.6522845914587379,0.6666666666666666,0.6122710622710622,0.7883084011851342
17,0.0704742167250111,0.9830287206266318,0.9830070231580113,0.18017598235746846,0.944,0.9452290767474549,0.7611358753674722,0.7272727272727273,0.6996031746031747,0.8469787158897428
18,0.04295100692898915,0.9852045256744996,0.9851980611820993,0.26726318476721644,0.924,0.9261767850885455,0.7700311375956517,0.7272727272727273,0.6922502334267039,0.8326061644238089
19,0.03562217842328311,0.9873803307223673,0.987375740717522,0.2519229351346439,0.94,0.9421781603110517,0.9992246594447352,0.7878787878787878,0.7896584896584896,0.8811702920500268
20,0.036727139265066294,0.9873803307223673,0.987368793208447,0.0995106061000115,0.972,0.9732791099737589,0.7096974826417863,0.696969696969697,0.6612914862914862,0.8484840605008498
21,0.009599905595678138,0.9973890339425587,0.997389029486894,0.15725734398040458,0.96,0.9615813533113996,0.6826764941185957,0.8181818181818182,0.7967532467532467,0.8956501106881385
22,0.003359323901855128,0.999129677980853,0.9991296779808528,0.1413813058925939,0.956,0.957433652473335,0.8714451789855673,0.7272727272727273,0.701190476190476,0.8549363819601914
23,0.0018894283094949868,0.999129677980853,0.9991296779808528,0.16176636345886664,0.96,0.9611019243583306,0.9146644473075725,0.696969696969697,0.6587662337662338,0.8401676481214919
24,0.002726758335534719,0.999129677980853,0.9991296720477022,0.18790395121169468,0.964,0.965287645476857,0.9383220672605148,0.7575757575757576,0.7278083028083028,0.8702959084094353
25,0.04110511340530189,0.9860748476936466,0.986054682070845,0.30475287865601786,0.932,0.9337373382274728,1.9937492609023906,0.42424242424242425,0.3164021164021164,0.6868032494973302
26,0.08995223393948334,0.9699738903394256,0.9699597953473947,0.17045453377068043,0.956,0.9575800953217627,0.8491474800975993,0.7575757575757576,0.7087912087912088,0.8580645407095411
27,0.02938134069053275,0.9908616187989556,0.9908688667112121,0.28805314887222266,0.956,0.9574721151518538,0.9404040575026329,0.7272727272727273,0.6959457209457209,0.8528615574694006
28,0.02268623814315005,0.9934725848563969,0.9934662949370433,0.19356443084143393,0.952,0.9538681431578602,0.9357825413317187,0.6666666666666666,0.6485810485810485,0.8317533053271355
29,0.05764109854539533,0.9804177545691906,0.9804282228950871,0.6276407136174385,0.832,0.8359981693286942,4.249493300914764,0.6666666666666666,0.5935185185185184,0.7390063090046239
30,0.07661754820663999,0.9769364664926022,0.976937770762926,0.3423441583099702,0.924,0.9260934676646341,0.6705740825855173,0.7272727272727273,0.7155067155067155,0.8418587668014668
31,0.062052743131062016,0.9804177545691906,0.9803905145734251,0.21510617437888868,0.944,0.9450970484409421,0.8712933063179662,0.696969696969697,0.678042328042328,0.8382751602814964
32,0.036682271493191365,0.9856396866840731,0.9856407411735669,0.2456769880373031,0.948,0.949462500201378,0.7241179941474911,0.7272727272727273,0.700974025974026,0.8500671105104372
33,0.040234255904781295,0.9869451697127938,0.9869354705149614,0.23425646543455514,0.944,0.9454086005206125,0.6913722157470374,0.7575757575757576,0.7303011803011804,0.8593656324328396
