epoch,lr,train_loss,train_f1,pv_val_loss,pv_val_f1,rw_val_loss,rw_val_f1,combined_score
1,0.0001,0.45625507476783933,0.7781510007152352,0.0200425082075526,0.9759103641456583,0.44886646792292595,0.6728270609318997,0.8546770428601549
2,9.757729755661011e-05,0.2562237095738214,0.8481570044139809,0.04833221327862702,0.9590242043072231,0.4083337044964234,0.7083916083916083,0.8587711659409772
3,9.05463412215599e-05,0.18165371354137147,0.8836694761720277,0.008497142684063874,1.0,0.4251756608330955,0.7143967337515725,0.885758693500629
4,7.959536998847742e-05,0.16113665617174572,0.8965462193491471,0.02056843558966648,0.9840740740740741,0.436051273252815,0.716899766899767,0.8772043512043513
5,6.57963412215599e-05,0.13848703803997192,0.908427767506837,0.018699636042583734,0.983316126173269,0.45006790904638666,0.766458849792183,0.8965732156208347
6,5.05e-05,0.11795922016931905,0.9200491807475156,0.03941525172558613,0.9752960652960653,0.4572140603947143,0.7345847840403196,0.879011552793767
7,3.5203658778440106e-05,0.09150254883108631,0.9416378918988001,0.217630781698972,0.9323754614077194,0.4719496318139136,0.7383588633588634,0.854768822188177
8,2.1404630011522586e-05,0.10286667954827113,0.9274593127596837,0.0816529882431496,0.9587936352642235,0.44830137755100924,0.7505858339191672,0.875510514726201
9,1.0453658778440109e-05,0.09929593093693256,0.9283943977696154,0.051561516243964434,0.9752960652960653,0.46032520073155564,0.75043231622179,0.8853505656663552
10,3.4227024433899e-06,0.10286916328209733,0.9318812892872218,0.054811168723972514,0.9671323553676494,0.46659001979666453,0.7534926184926185,0.881676460617637
11,0.0001,0.08403351956180163,0.9405213930643607,0.0462711613799911,0.9920941349512779,0.4333247097480732,0.7623370781265518,0.9001913122213874
12,9.939057285945933e-05,0.08291867910514748,0.9444631080769064,0.02000672982103424,0.983316126173269,0.4502597063158949,0.7778493436388173,0.9011294131594884
13,9.757729755661011e-05,0.060454864801454636,0.9570151706437436,0.005259819357888773,1.0,0.46684032732931274,0.7344498312737877,0.893779932509515
14,9.460482294732421e-05,0.06828313760666384,0.9504172010907547,0.021012191922636703,0.983316126173269,0.4937042117429276,0.793060543060543,0.9072138929281787
15,9.05463412215599e-05,0.059907271086962685,0.9619203429737255,0.041436234023422,0.983316126173269,0.5166233305159645,0.7560982742142163,0.892428985389648
16,8.55017856687341e-05,0.05385056189778778,0.9609599901930318,0.01859826355939731,0.9912219912219912,0.5374659135316809,0.8054912923333976,0.9169297116665537
17,7.959536998847742e-05,0.05725820276457521,0.9644355374133453,0.04199557440006174,0.983316126173269,0.5414306946719686,0.7436667197536764,0.887456363605432
18,7.297252973710757e-05,0.05355358766096215,0.9579373040546163,0.04064837665646337,0.9912219912219912,0.6021638416374723,0.757531502314111,0.897745795658839
19,6.57963412215599e-05,0.03698710876605695,0.9699991856654933,0.018016194761003135,0.9912219912219912,0.5904249614104629,0.7693983489177998,0.9024925343003145
20,5.8243506019491436e-05,0.035193501062513816,0.9749736141881237,0.020445003327040467,0.9920941349512779,0.5718792123467816,0.7724247974247974,0.9042263999406857
21,5.05e-05,0.0403549568801527,0.9759756405751417,0.027544819567992818,0.9920941349512779,0.5744063238768528,0.7657092907092907,0.901540197254483
22,4.2756493980508586e-05,0.023245237170836874,0.9834840349354138,0.026471578727068845,0.9912219912219912,0.5751289272059997,0.7584645156609175,0.8981190009975617
23,3.5203658778440106e-05,0.03222094798859741,0.9799979216296665,0.03177086808136664,0.9843243243243243,0.5483556436374784,0.7855106984518749,0.9047988739753445
24,2.8027470262892437e-05,0.02486728651667132,0.9844843118491341,0.03201322682070895,0.9920941349512779,0.6197003074533617,0.7679792027618114,0.9024481620754913
25,2.1404630011522586e-05,0.03324220911830678,0.9809999613037087,0.02550681024149526,0.9912219912219912,0.6026326641440392,0.7679792027618114,0.9019248758379192
26,1.54982143312659e-05,0.026616521990887584,0.9794718775030677,0.023368970207229722,0.983316126173269,0.5909860279255857,0.7584645156609175,0.8933754819683285
27,1.0453658778440109e-05,0.0256906899795424,0.9799862700942157,0.021448676994623384,0.9912219912219912,0.6057009421832239,0.7584645156609175,0.8981190009975617
28,6.395177052675795e-06,0.028365053129308516,0.9795075336115454,0.02376325142540736,0.9912219912219912,0.6290837408353885,0.7584645156609175,0.8981190009975617
29,3.4227024433899e-06,0.022591731964706607,0.9844847143787724,0.027032714257074986,0.983316126173269,0.5974193618943294,0.7584645156609175,0.8933754819683285
30,1.6094271405406859e-06,0.02688583480157254,0.9814917071316418,0.05256530184124131,0.983316126173269,0.5978831086928645,0.7723716727266424,0.8989383447946184
31,0.0001,0.02984079648186231,0.9844945000444537,0.020246542364475317,0.9912219912219912,0.6317928086112564,0.7732262482262483,0.904023694023694
